city,year,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,total_pop
Los Angeles,2001,795.0165575,10.73674981,22.76588616,189.8814086,571.6325129,1005891
Honolulu,1976,236.0722916,5.567742726,22.82774518,154.7832478,52.89355589,718424
Upper Marlboro,2011,612.925739,12.03289794,22.86250609,308.0421873,269.9881476,664844
Honolulu,2010,267.2829139,1.993082953,22.86800441,93.46510059,148.956726,953297
New York City,1999,1062.622228,8.93762948,22.90940568,485.795159,544.9800337,7429263
Miami,2013,1181.900314,16.96965062,22.94487971,529.6443066,612.3414772,418394
San Diego,2010,429.5541846,2.218139486,22.94627054,125.133662,279.2561125,1307402
San Francisco,2005,798.8819657,12.81414682,22.95867972,410.8535824,352.2555568,749172
Virginia Beach,1997,239.7238669,4.280783338,22.9810474,116.0317589,96.4302773,443844
Omaha,1995,1029.909018,7.756636952,22.98262801,232.1245429,767.0452097,348089
Los Angeles,2008,731.5757099,13.4152025,23.05427393,195.4644691,499.6417644,1006321
New Orleans,2008,1019.400227,63.60147811,23.09550881,385.5173394,547.1859011,281440
Tampa,2009,752.2455849,5.793188948,23.17275579,263.3004377,459.9792025,345233
Seattle,2014,603.69907,3.919145023,23.21339745,236.2038558,340.3626717,663410
San Jose,2007,402.2243789,3.531099895,23.21965688,114.279233,261.1943892,934553
Louisville,2003,532.7275555,8.015762195,23.24571036,233.2586799,268.207403,623771
Rockville,1983,271.7401497,3.188117698,23.25450556,117.2102095,128.0873169,533230
San Jose,2008,385.4222982,3.279739568,23.27557112,118.9170088,239.9499787,945197
Atlanta,2013,1223.005632,18.40273159,23.28056405,523.9235511,657.398785,451020
Miami,2012,528.3671829,7.078687035,23.33344985,147.3415598,350.6134862,1144280
Long Beach,2014,489.0442623,4.881952271,23.34846739,188.6980682,272.1157744,471123
Baltimore,2007,1631.111261,45.17514982,23.38855275,623.9617325,938.5858256,624237
San Diego,2013,393.0168546,2.890374756,23.41944674,107.9073242,258.7997089,1349306
Los Angeles,2009,625.3936316,8.106473331,23.46200454,317.4255919,276.3995618,3848776
San Diego,2007,502.063121,4.678099201,23.46978582,166.1121665,307.8030695,1261196
San Jose,2006,386.8347984,3.150297432,23.57291526,111.8898743,248.2217114,920548
San Jose,2011,334.9835225,4.074971109,23.61393515,115.039569,192.2550472,957062
Atlanta,2008,1388.888889,19.69922104,23.63906524,620.6192685,724.9313341,533016
Los Angeles,1997,1152.608979,14.72660462,23.70378141,274.4595286,839.7190648,991403
Miami,2011,1197.576692,16.79422871,23.70949936,494.4418512,662.6311123,404901
Miami,2009,679.0438298,7.472523271,23.7209169,201.0630099,446.7873798,1150883
Tampa,2007,1060.138782,8.303184864,23.72338533,357.3334915,670.7787201,337220
Virginia Beach,2000,221.7482605,2.586671119,23.75034391,106.0535159,89.35772956,425257
Jacksonville,2005,829.9183033,11.44281297,23.76584232,283.3039299,511.4057181,795259
St. Louis,2003,2181.88658,21.74833067,23.80560519,818.79526,1317.537384,340256
Seattle,2005,709.4084235,4.316186563,23.82534983,277.4444723,403.8224148,579215
Rockville,1986,279.426815,1.542847445,23.82842165,111.085016,142.9705299,583337
Louisville,2013,542.9729408,7.152223149,23.84074383,212.629634,299.3503397,671120
Fairfax,1979,169.8165519,2.117893505,23.87443587,89.52913451,54.29508803,519384
Long Beach,2011,610.8734186,5.345409683,23.94743538,282.2376313,299.3429422,467691
Seattle,2013,584.9281441,2.800187924,23.95716335,249.2167252,308.9540676,642814
Honolulu,1975,226.298879,8.223894099,23.96272591,148.8808414,45.23141754,705262
Rockville,1992,304.4972199,2.746753272,24.06679058,121.6419306,156.0417454,764539
San Diego,2009,451.1044872,3.118409033,24.1866847,144.8919319,278.9074616,1314773
Los Angeles,2012,481.100209,7.755915377,24.27938727,233.014675,216.0502314,3855122
Los Angeles,2010,566.4684133,7.725528071,24.33673177,288.0329988,246.3731546,3792621
Newark,2009,930.1475987,28.65298725,24.35503917,472.4161273,404.7234449,279203
Honolulu,1977,229.9223112,6.371341153,24.37730528,149.7265171,49.44714765,721983
Raleigh,2009,492.8510733,3.448233396,24.38393616,204.9235847,260.095319,406005
Atlanta,2009,1150.115482,14.46913643,24.41666772,492.8549596,618.3747181,552901
Raleigh,2008,577.6242021,8.747983461,24.44289497,263.725972,280.7073517,388661
Virginia Beach,1999,238.5413335,2.741854408,24.4482018,115.8433487,95.50792853,437660
Nashville,1975,702.4021352,20.68505338,24.46619217,445.5071174,211.7437722,449600
Long Beach,2012,575.6629701,6.810061014,24.47365677,263.6770499,280.7022024,469893
