city,year,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,total_pop,lon,lat
Minneapolis,1992,1642.79372987584,15.9005684453219,159.005684453219,814.904132822748,652.983344154553,377345,-93.26384,44.97997
Rockville,1992,304.497219893295,2.74675327223333,24.0667905757587,121.641930627476,156.041745417827,764539,-77.15276,39.084
Nashville,1992,1628.2968543294,17.4835023728998,96.7420464633789,518.288714787741,995.782590705382,514771,-86.78444,36.16589
Mineola,1992,232.024492348108,1.76967833146862,7.17702878873383,135.773654208787,87.3041310191184,1017134,-73.64068,40.74927
National,1992,757.7,9.3,NA,NA,NA,NA,-78.9403,39.60898
New Orleans,1992,1981.55276748091,55.2466495580268,56.8307828786871,1057.60700820581,811.868326838387,505008,-90.07507,29.95465
New York City,1992,2163.74103282981,27.0504916748892,38.1689895061719,1237.12271174196,861.398839906784,7375097,-73.992602,40.742185
Newark,1992,3500.34589110195,31.3463811143458,112.774911365405,1941.67411293344,1414.55048568876,277544,-74.17237,40.73566
Oakland,1992,2626.35785809379,42.7365923654315,108.266033992427,1194.03448972509,1281.32074201085,386086,-83.3858,42.66041
Oklahoma City,1992,1399.65437914828,13.4285808631716,103.906396187164,404.178269914475,878.141132183465,454255,-97.51643,35.46756
Omaha,1992,645.788039900162,3.21869888486714,48.5730922625405,117.043595813351,476.952652939404,341753,-95.93779,41.25861
Orlando,1992,1882.41872167927,7.57160995724953,81.5404149242257,470.604680419817,1322.70201637797,171694,-81.37924,28.53834
Philadelphia,1992,1191.22894319042,26.5022405305936,50.9466600317528,728.406286206737,385.373756421337,1603638,-75.16379,39.95234
Phoenix,1992,1090.80908090809,13.6013601360136,47.6047604760476,314.031403140314,715.571557155716,999900,-112.07404,33.44838
Pittsburgh,1992,1202.37961491753,11.769678099304,59.115883180595,799.535632700446,331.958420937187,373842,-79.99589,40.44062
Portland,1992,1831.1316389163,10.0407742746632,106.956073795325,586.293906559681,1127.84088428662,458132,-122.67621,45.52345
Upper Marlboro,1992,1153.44374004728,20.0046677558097,64.9357866041759,525.519446601032,542.983839086263,629853,-76.74969,38.81595
Raleigh,1992,1011.30085618193,8.85062932632736,55.8987115346991,413.184642760651,533.366872560254,214674,-78.63861,35.7721
Sacramento,1992,1220.04061581511,11.7462190226102,61.8634201857469,606.104901566685,540.326075040068,383102,-121.4944,38.58157
Salt Lake City,1992,782.512596254397,8.31828120543778,111.108470386919,279.256583325411,383.829261336629,168304,-111.89105,40.76078
San Antonio,1992,733.020566926803,22.5117801370032,63.3208062301095,358.235405376512,288.952575183178,972824,-98.49363,29.42412
San Diego,1992,1284.1916459826,12.6752285230841,42.1060673540808,461.951308022812,767.459042082627,1151853,-117.15726,32.71533
San Francisco,1992,1821.3175120025,15.5816136958389,52.6045932466356,1102.43246302696,650.698842033068,750885,-122.41942,37.77493
San Jose,1992,668.891786694144,5.29986121758765,55.217158732076,151.723933926753,456.650832817727,811342,-121.89496,37.33939
Seattle,1992,1344.55169376445,11.0103864645649,64.7777736998569,472.896098653063,795.867434946967,544940,-122.33207,47.60621
St. Louis,1992,3290.58332277624,57.3808973776185,86.6923514493024,1226.11302794773,1920.39704600159,402573,-90.44341,38.64068
Hauppauge,1992,289.70197910174,4.08853599538746,6.25796325824612,147.938251424938,131.417228423168,1198473,-73.20261,40.82565
Tampa,1992,3379.00794738285,16.7854206631954,103.795560427514,1027.33625650863,2231.0907097835,291920,-82.45843,27.94752
Tucson,1992,1020.91374965789,9.9094932945762,91.0729621834861,228.862107041403,691.069187138422,423836,-110.92648,32.22174
Tulsa,1992,1335.27794738344,8.7987564424228,98.1194657821695,358.349353291401,870.010371867443,375053,-95.99278,36.15398
Virginia Beach,1992,285.103525903692,5.67738623011681,37.7669605742553,151.067842297021,90.5913368022986,405116,-75.97798,36.85293
Washington,1992,2831.91850594228,75.2122241086587,36.5025466893039,1265.87436332767,1454.32937181664,589e3,-120.50147,47.50012
